,us_ew_cc,jp_ew_cc_prev,exec_date,jp_ew_oc_next,pred,pred_up,actual_up,correct,timed_return,beta_const,beta_us_ew_cc,beta_jp_ew_cc_prev
2024-08-23,0.010775143762241727,0.007537062506197678,2024-08-26 00:00:00,-0.002931217186388028,0.0008246765639981392,True,False,False,-0.002931217186388028,-0.00026608944267487766,0.01645932941920915,0.12118970291142589
2024-08-26,0.0008905068944616239,-0.006271227469584913,2024-08-27 00:00:00,0.009068665944737117,-0.0010481720346473412,False,True,False,-0.009068665944737117,-0.0003075121866378626,0.016331737750960126,0.12042353378791312
2024-08-27,-0.00033433249635559585,0.009872778256425917,2024-08-28 00:00:00,0.000892265432026715,0.0008983344318781569,True,True,True,0.000892265432026715,-0.0002686564891617865,0.01692246368868608,0.1187759534461563
2024-08-28,-0.004123883872020188,-0.00040560749017713157,2024-08-29 00:00:00,0.003878392921483568,-0.0003719101492853676,False,True,False,-0.003878392921483568,-0.00025800669913989054,0.01589539323423432,0.11921055581661813
2024-08-29,0.0021124745880466826,0.0009704432617057851,2024-08-30 00:00:00,0.0032494513377965928,-0.00013868383792265657,False,True,False,-0.0032494513377965928,-0.00029135189356843585,0.017231122292148418,0.11980890822583776
2024-08-30,0.009275938800142092,0.007063963327185683,2024-09-03 00:00:00,0.005257600601792687,0.0007844563859894784,True,True,True,0.005257600601792687,-0.00022960692544582762,0.01497601907524368,0.12388890407394679
2024-09-03,-0.013559065987716733,0.00550569589413588,2024-09-04 00:00:00,-0.010052270321245019,0.0002265004248930896,True,False,False,-0.010052270321245019,-0.00021135123793618343,0.018072945295745907,0.12403589551941072
2024-09-04,-0.0006168084105744421,-0.03245218409260773,2024-09-05 00:00:00,0.003689848179031697,-0.0042220271478597485,False,True,False,-0.003689848179031697,-0.00024678633438813446,0.02802926850723121,0.12196258081180074
2024-09-05,-0.004388530775455918,-0.004520372980518047,2024-09-06 00:00:00,-0.010910717695975729,-0.0008664733463832899,False,False,True,0.010910717695975729,-0.000211536550333278,0.029579683966123316,0.11616860929388155
2024-09-06,-0.012464267101073795,-0.009039466469569187,2024-09-09 00:00:00,0.021540233604225606,-0.0017059121879800692,False,True,False,-0.021540233604225606,-0.0002465658213716937,0.032417038578484075,0.11674270187216379
2024-09-09,0.010833504328544331,-0.002781122328223597,2024-09-10 00:00:00,-0.0050321715400831486,-0.0003800039411369314,False,False,True,0.0050321715400831486,-0.0001515487609112993,0.008495990013206264,0.11523999557893747
2024-09-10,0.002509636141333785,-0.0014042833796608155,2024-09-11 00:00:00,-0.014802049969501388,-0.00033232801399037863,False,False,True,0.014802049969501388,-0.00018101542152187847,0.00445206263273841,0.11570716573911759
2024-09-11,0.002424131245900937,-0.022709800972497085,2024-09-12 00:00:00,0.002933436552381985,-0.0028771668352299915,False,True,False,-0.002933436552381985,-0.00026823529257906316,0.004051079600794746,0.11531373147929877
2024-09-12,0.007291994173791732,0.022094264155897044,2024-09-13 00:00:00,-0.0060122553629263845,0.002236537380763375,True,False,False,-0.0060122553629263845,-0.0002621761386192331,0.003389275055440677,0.11197471560801617
2024-09-13,0.007230566400284239,-0.007461343802202399,2024-09-17 00:00:00,-0.004997536428205525,-0.0010886380025877179,False,False,True,0.004997536428205525,-0.00030098884194548276,0.002586846779789584,0.10807081799566051
2024-09-17,8.165790428407956e-05,-0.0050279254806356475,2024-09-18 00:00:00,-0.007716977443253359,-0.0009025234318416914,False,False,True,0.007716977443253359,-0.0003449447855606596,-0.004374548774626001,0.1108253159164685
2024-09-18,-0.0031021740436925275,0.0026521758321296873,2024-09-19 00:00:00,0.00620564369781875,-6.152054933802019e-05,False,True,False,-0.00620564369781875,-0.0003710584200548371,-0.004272370444703973,0.11171364674577478
2024-09-19,0.010070355929632608,0.022080797018470915,2024-09-20 00:00:00,-0.005329776169956224,0.00207762498482202,True,False,False,-0.005329776169956224,-0.0003425148056664048,-0.005701298902803242,0.11220400684034942
2024-09-20,0.00010993008097279969,0.007019712297359282,2024-09-24 00:00:00,-0.0040072701588850955,0.0003737851862411032,True,False,False,-0.0040072701588850955,-0.00039156224498509024,-0.010810682228911989,0.10919761635919879
2024-09-24,0.001711559772266174,0.00654221925249859,2024-09-25 00:00:00,-0.0009191507029981753,0.0002353041178363264,True,False,False,-0.0009191507029981753,-0.00045175013225084163,-0.006498605017414429,0.10671867971165525
2024-09-25,-0.004730340933333668,-0.0015829493432939032,2024-09-26 00:00:00,0.00985773967515244,-0.000590517268934203,False,True,False,-0.00985773967515244,-0.0004522846469908382,-0.006504859961428029,0.10676452029275872
2024-09-26,0.002116276356530394,0.018676243267185016,2024-09-27 00:00:00,0.0129789246349662,0.0015461621612445154,True,True,True,0.0129789246349662,-0.00042594433521614395,-0.008265283244922102,0.10653095976039928
2024-09-27,0.003061570433122405,0.0191519082651833,2024-09-30 00:00:00,0.0064882619526169544,0.0017101033441352742,True,True,True,0.0064882619526169544,-0.0003848181992684379,-0.008629443594388123,0.11076395956965938
2024-09-30,0.003089891965934031,-0.02985687925594756,2024-10-01 00:00:00,0.0007227095112879248,-0.003732748979837033,False,True,False,-0.0007227095112879248,-0.0003490355653871499,-0.008595916024917466,0.11244152256521901
2024-10-01,-0.0017046027164405832,0.012798461963286645,2024-10-02 00:00:00,-0.003099830914613737,0.0010837983034866646,True,False,False,-0.003099830914613737,-0.00031847930426625237,-0.005866452939415727,0.10878476180422081
2024-10-02,-0.0011000566511106915,-0.010106938496431817,2024-10-03 00:00:00,-0.007442846580963934,-0.0014273951221497503,False,False,True,0.007442846580963934,-0.000344523053043249,-0.0056251258493332235,0.10775370074675727
2024-10-03,-0.003984157112863696,0.01201963144320504,2024-10-04 00:00:00,0.005156231507223448,0.000962501303521238,True,True,True,0.005156231507223448,-0.0003691934223795998,-0.005356069842939411,0.10901792690822218
2024-10-04,0.006317052610570483,0.006649553861878181,2024-10-07 00:00:00,-0.00605785334798268,0.0003054069323604868,True,False,False,-0.00605785334798268,-0.0003811373979670593,-0.00679260335132429,0.10969962469851524
2024-10-07,-0.008605538389011175,0.013932451456056816,2024-10-08 00:00:00,-0.007564465967949169,0.001201565379569666,True,False,False,-0.007564465967949169,-0.0004112696632844751,-0.011070732953917826,0.10892307288571122
2024-10-08,0.0025810053765557613,-0.014477185040155618,2024-10-09 00:00:00,-0.008463412519251272,-0.0019750229957124555,False,False,True,0.008463412519251272,-0.00047168491788155147,0.001998623700495264,0.10419819406628092
2024-10-09,0.005220369166151136,0.0005480263226337519,2024-10-10 00:00:00,-0.00422951194082575,-0.0004032187589433609,False,False,True,0.00422951194082575,-0.00043849184705891807,-0.004487891324529383,0.10711444903787588
2024-10-10,-0.0028349818502928,0.0030007468616398037,2024-10-11 00:00:00,-0.004246937304246934,-0.00011008037326396106,False,False,True,0.004246937304246934,-0.00044959429840747537,-0.0063384448072324046,0.10715483977219421
2024-10-11,0.007828943016941632,-0.0034302306517480655,2024-10-15 00:00:00,-0.0082868674162587,-0.0008200922137629656,False,False,True,0.0082868674162587,-0.0005058850908579745,0.006593174172488267,0.10664726222294893
2024-10-15,-0.004111380814024199,0.0012782122840638713,2024-10-16 00:00:00,0.002520788893053947,-0.0004030792247969397,False,True,False,-0.002520788893053947,-0.0005335316210687209,0.0017718908310394021,0.10775777697985213
2024-10-16,0.006568897812422556,-0.006310738137723661,2024-10-17 00:00:00,-0.0030562027738773624,-0.001185100761574727,False,False,True,0.0030562027738773624,-0.0005112758416304648,0.0010932356394224435,0.10791230095156057
2024-10-17,-0.002005608321326831,-0.0003913451229495497,2024-10-18 00:00:00,-0.005574502477983967,-0.000592718363240989,False,False,True,0.005574502477983967,-0.0005392587090209172,0.005568992656405342,0.10806429856142377
2024-10-18,0.003510738809583434,-0.0010975478777498298,2024-10-21 00:00:00,-0.006432895323245947,-0.000638850292746636,False,False,True,0.006432895323245947,-0.0005419461909449836,0.006151181610203893,0.10796731168423923
2024-10-21,-0.006710908371312355,-0.004849438048136887,2024-10-22 00:00:00,-0.009835480458431124,-0.0010990600862662817,False,False,True,0.009835480458431124,-0.0005192552056762739,0.008787845617558049,0.10740016651402226
2024-10-22,-0.002025339133531655,-0.011096491604198292,2024-10-23 00:00:00,-0.004623610561749125,-0.0017266495573517457,False,False,True,0.004623610561749125,-0.0005253774844082061,0.012141900601593439,0.10604077833524342
2024-10-23,-0.003325020900624052,-0.0025086850593615782,2024-10-24 00:00:00,0.005133479734146573,-0.0006920336773647486,False,True,False,-0.005133479734146573,-0.0004422534432202374,-0.005332388399363633,0.1066337665720056
2024-10-24,0.0006743730909853514,-0.003085089022814778,2024-10-25 00:00:00,-0.005164100993127605,-0.0006937467048149305,False,False,True,0.005164100993127605,-0.0003679709118329144,-0.014627732849294701,0.10239939309047806
2024-10-25,-0.004181609645752538,-0.007243072104129385,2024-10-28 00:00:00,0.016937121171863495,-0.0011589033932498643,False,True,False,-0.016937121171863495,-0.00044569583315934985,-0.024164377340247484,0.11241825868278724
2024-10-28,0.0036464119233284046,0.013754109037563219,2024-10-29 00:00:00,0.004997342280077428,0.001018283925930398,True,True,True,0.004997342280077428,-0.00037526529380606504,-0.029853116011671885,0.10923324613806515
2024-10-29,-0.0049552719896036905,0.00836347107308969,2024-10-30 00:00:00,0.006988412626588878,0.0007099936200528215,True,True,True,0.006988412626588878,-0.00038379659814143254,-0.03457475357221491,0.11029665819476853
2024-10-30,-0.00027311335777557844,0.011057865766824588,2024-10-31 00:00:00,0.002723452327693208,0.0009326215397820703,True,True,True,0.002723452327693208,-0.00033834755090241984,-0.03647484327626946,0.1140371343217241
2024-10-31,-0.00963419834684928,-0.0007482555465133394,2024-11-01 00:00:00,0.003284200027433505,-6.89115540644353e-05,False,True,False,-0.003284200027433505,-0.0003657996420481662,-0.03977879435285921,0.11540002237551532
2024-11-01,-0.0002968181292926591,-0.014033650080420627,2024-11-05 00:00:00,0.0016584585817562443,-0.0019541538546655104,False,True,False,-0.0016584585817562443,-0.0003109427213797888,-0.05132209540535343,0.11817627289632476
2024-11-05,0.010859943768610587,0.0046952422319294085,2024-11-06 00:00:00,0.006528112759373659,-0.00027833538681032975,False,True,False,-0.006528112759373659,-0.00026507690903147834,-0.05086135439143905,0.11481686019126286
2024-11-06,0.0167544529112301,0.0135512287288633,2024-11-07 00:00:00,-0.00040689107254209727,0.0005774548291057122,True,False,False,-0.00040689107254209727,-0.00023870367493835658,-0.04373893108424803,0.11430552876606725
2024-11-07,0.004149201544058209,0.010754784678183915,2024-11-08 00:00:00,-0.006075257043196114,0.0008024279388401354,True,False,False,-0.006075257043196114,-0.00023956422621526318,-0.04498623571119424,0.11424209414642839
2024-11-08,0.007379564217365812,-0.004847701712961763,2024-11-11 00:00:00,2.0774313091011814e-05,-0.0011724822591785249,False,True,False,-2.0774313091011814e-05,-0.0002489102296201353,-0.05051761644139523,0.11361549607068464
